date,longitude,latitude,level,expver,o3,t,OT
1963/11/1,104,0.5,10,1,1.56E-05,230.7378,19.503763
1963/12/1,104,0.5,10,1,1.53E-05,229.15462,12.172712
1964/1/1,104,0.5,10,1,1.54E-05,227.79062,-8.960663
1964/2/1,104,0.5,10,1,1.54E-05,229.55751,-15.046152
1964/3/1,104,0.5,10,1,1.58E-05,229.64897,-17.95599
1964/4/1,104,0.5,10,1,1.56E-05,233.68498,-24.34493
1964/5/1,104,0.5,10,1,1.52E-05,234.76909,-32.696896
1964/6/1,104,0.5,10,1,1.54E-05,233.62112,-38.62007
1964/7/1,104,0.5,10,1,1.60E-05,233.20404,-40.35492
1964/8/1,104,0.5,10,1,1.70E-05,231.21559,-42.102703
1964/9/1,104,0.5,10,1,1.72E-05,231.68707,-40.794807
1964/10/1,104,0.5,10,1,1.65E-05,232.69391,-39.800945
1964/11/1,104,0.5,10,1,1.55E-05,233.11415,-40.284348
1964/12/1,104,0.5,10,1,1.51E-05,231.92519,-43.194187
1965/1/1,104,0.5,10,1,1.52E-05,230.0495,-43.7117
1965/2/1,104,0.5,10,1,1.56E-05,228.77538,-40.601913
1965/3/1,104,0.5,10,1,1.59E-05,230.31914,-39.231678
1965/4/1,104,0.5,10,1,1.57E-05,233.01007,-41.61342
1965/5/1,104,0.5,10,1,1.50E-05,236.09682,-40.151443
1965/6/1,104,0.5,10,1,1.48E-05,236.54938,-22.627726
1965/7/1,104,0.5,10,1,1.53E-05,235.67105,-13.307777
1965/8/1,104,0.5,10,1,1.62E-05,233.35226,-16.684553
1965/9/1,104,0.5,10,1,1.62E-05,235.41165,-12.243345
1965/10/1,104,0.5,10,1,1.56E-05,234.98354,2.542253
1965/11/1,104,0.5,10,1,1.52E-05,234.20535,11.631674
1965/12/1,104,0.5,10,1,1.50E-05,231.69339,9.53104
1966/1/1,104,0.5,10,1,1.51E-05,230.02112,-4.9663982
1966/2/1,104,0.5,10,1,1.58E-05,228.15408,-0.92861605
1966/3/1,104,0.5,10,1,1.57E-05,232.27762,5.4379773
1966/4/1,104,0.5,10,1,1.54E-05,233.77959,1.2531743
1966/5/1,104,0.5,10,1,1.52E-05,233.86632,-1.9283586
1966/6/1,104,0.5,10,1,1.54E-05,232.38327,-5.6415186
1966/7/1,104,0.5,10,1,1.61E-05,230.56671,-11.177738
1966/8/1,104,0.5,10,1,1.69E-05,230.23477,-16.562231
1966/9/1,104,0.5,10,1,1.70E-05,231.22032,-18.98396
1966/10/1,104,0.5,10,1,1.67E-05,230.39798,-20.200117
1966/11/1,104,0.5,10,1,1.59E-05,229.79799,-22.412487
1966/12/1,104,0.5,10,1,1.55E-05,229.80586,-25.305859
1967/1/1,104,0.5,10,1,1.56E-05,226.10493,-27.123037
1967/2/1,104,0.5,10,1,1.56E-05,229.13017,-26.529072
1967/3/1,104,0.5,10,1,1.57E-05,230.7378,-27.026592
1967/4/1,104,0.5,10,1,1.57E-05,232.44713,-29.863506
1967/5/1,104,0.5,10,1,1.55E-05,232.54884,-33.267338
1967/6/1,104,0.5,10,1,1.57E-05,231.66264,-38.276634
1967/7/1,104,0.5,10,1,1.61E-05,231.68472,-38.12726
1967/8/1,104,0.5,10,1,1.68E-05,230.86552,-36.54414
1967/9/1,104,0.5,10,1,1.71E-05,230.80481,-39.517487
1967/10/1,104,0.5,10,1,1.62E-05,233.37119,-39.49161
1967/11/1,104,0.5,10,1,1.49E-05,235.88788,-29.925844
1967/12/1,104,0.5,10,1,1.47E-05,233.06369,-23.598064
1968/1/1,104,0.5,10,1,1.51E-05,231.44424,-32.794518
1968/2/1,104,0.5,10,1,1.49E-05,234.06186,-35.12568
1968/3/1,104,0.5,10,1,1.53E-05,233.84267,-39.643337
1968/4/1,104,0.5,10,1,1.52E-05,235.30838,-34.26355
1968/5/1,104,0.5,10,1,1.48E-05,236.75516,-14.262825
1968/6/1,104,0.5,10,1,1.50E-05,235.03163,-1.7025342
1968/7/1,104,0.5,10,1,1.58E-05,233.15279,0.50395536
1968/8/1,104,0.5,10,1,1.66E-05,231.64136,-2.6481729
1968/9/1,104,0.5,10,1,1.69E-05,231.0445,5.466205
1968/10/1,104,0.5,10,1,1.63E-05,231.99536,12.189178
1968/11/1,104,0.5,10,1,1.56E-05,232.15305,17.650124
1968/12/1,104,0.5,10,1,1.54E-05,229.64502,23.908508
1969/1/1,104,0.5,10,1,1.51E-05,229.75462,22.835844
1969/2/1,104,0.5,10,1,1.54E-05,229.82715,17.324324
1969/3/1,104,0.5,10,1,1.54E-05,231.66106,18.605171
1969/4/1,104,0.5,10,1,1.53E-05,233.49812,19.9954
1969/5/1,104,0.5,10,1,1.53E-05,232.3478,11.688131
1969/6/1,104,0.5,10,1,1.58E-05,229.2713,5.8519883
1969/7/1,104,0.5,10,1,1.67E-05,227.13544,0.2534318
1969/8/1,104,0.5,10,1,1.74E-05,227.23557,-7.6762877
1969/9/1,104,0.5,10,1,1.72E-05,229.68524,-12.5056305
1969/10/1,104,0.5,10,1,1.64E-05,230.85606,-20.625889
1969/11/1,104,0.5,10,1,1.58E-05,230.08261,-25.698698
1969/12/1,104,0.5,10,1,1.53E-05,229.87051,-27.935768
1970/1/1,104,0.5,10,1,1.56E-05,225.80139,-28.85318
1970/2/1,104,0.5,10,1,1.56E-05,228.78957,-27.215954
1970/3/1,104,0.5,10,1,1.58E-05,230.91599,-25.638714
1970/4/1,104,0.5,10,1,1.59E-05,233.0022,-26.264435
1970/5/1,104,0.5,10,1,1.54E-05,235.30286,-24.778936
1970/6/1,104,0.5,10,1,1.52E-05,235.82243,-18.509964
